timestamp,sensor,network_key,test_type_code,name,target,ssid,bssid,channel,frequency,rssi,dhcp_ip_address,dhcp_elapsed_time_seconds,dns_ip_address,dns_elapsed_time_seconds,latency,jitter,packet_loss,http_get_elapsed_time_seconds,download_speed,upload_speed
2020-05-01 23:32:42.864837+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,MailMarshal (DC2),10.24.13.253,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,10.3,0.626315789474,0.0,,,
2020-05-01 23:32:45.498826+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,SAP Services,10.24.140.18,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-49,,,,,19.9,18.2947368421,0.0,,,
2020-05-01 23:32:48.048339+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Web Gateway  SDC1,10.41.63.134,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-49,,,,,10.7,0.368421052632,0.0,,,
2020-05-01 23:32:50.387431+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Web Gateway  SDC2,10.41.199.134,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,10.9,1.2,0.0,,,
2020-05-01 23:32:52.670611+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Caseflow,10.21.219.86,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,34.1,11.6421052632,0.0,,,
2020-05-01 23:32:54.964293+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,NPS,10.21.219.146,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-47,,,,,29.4,1.14736842105,0.0,,,
2020-05-01 23:33:13.976231+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Microsoft Teams,teams.microsoft.com:443,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-47,,,,,14.7,1.08947368421,0.0,,,
2020-05-01 23:33:16.274388+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Microsoft Teams,teams.microsoft.com:80,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,15.2,1.16315789474,0.0,,,
2020-05-01 23:33:18.609366+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,PING,Service Now,ukrc.service-now.com:80,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-48,,,,,34.6,2.15789473684,0.0,,,
2020-05-01 23:33:20.980462+00:00,e65b5e56-7e81-4942-aa61-646519d5ea55,ssid-fd2818c50794,HTTP_GET,Service Now,http://ukrc.service-now.com:80,sensor.wifi,b4:5d:50:e5:f0:73,124,5.62,-47,,,,,,,,0.437,,
